,cluster,text
26,1,the south african military wasted r217 million 3 million buying cuban ronavirus drug nevehe south african military wasted r217 million 3 million buying cuban ronavirus drug never approved use south africa drug anc mayor falsely touted vaccine virus
28,1,vaxin bharat biotech ronavirus vaccine cleared phase 3 trials vaxin bharat biotech ronavirus vaccine cleared phase 3 trials
4,1,another deaths election day point staggering historic failure ofanother deaths election day point staggering historic failure government bracing impetus hope new approach also need human challenge trials hasten vaccine
,cluster,text
26,0,the south african military wasted r217 million 3 million buying cuban ronavirus drug nevehe south african military wasted r217 million 3 million buying cuban ronavirus drug never approved use south africa drug anc mayor falsely touted vaccine virus
29,0,vid 19 vaccine expected secured first quaer next year vid 19 vaccine expected secured first quaer next year
16,0,just announced finalized panership deliver ronavirus vaccine whenjust announced finalized panership deliver ronavirus vaccine approved directly nursing st seniors
24,0,ronavirus vaccine developed uk works perfectly safely triggering immune response ronavirus vaccine developed uk works perfectly safely triggering immune response
13,0,growing hea worry ronavirus new vaccine anymore growing hea science solve virus mpletely soon growing hea
8,0,fewer 4 adults wuhan china tested positive antibodies vid 19 putting possibility offewer 4 adults wuhan china tested positive antibodies vid 19 putting possibility untries developing herd immunity virus without vaccine doubt
3,0,american seniors first line safe effective ronavirus vaccine approved american seniors first line safe effective ronavirus vaccine approved
27,0,update ronavirus vaccine tracker india announces phase 3 trial theirupdate ronavirus vaccine tracker india announces phase 3 trial inactivated virus vaccine vaxin worldwide 11 vid specific vaccines phase 3 trials
9,0,first modi vacuous 6 pm address nation saying vid sitharaman promising free vid vaccine forfirst modi vacuous 6 pm address nation saying vid sitharaman promising free vid vaccine bihar raids ngress clearly bjp rattled crowds tejaswi drawing desperation shows losing game
11,0,freehk fewer 4 adults wuhan china tested positive antibodies vid 19 putting thefewer 4 adults wuhan china tested positive antibodies vid 19 putting possibility untries developing herd immunity virus without vaccine doubt
,cluster,text
1,1,3 indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expectsindian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news
12,1,free vid vaccine behalf govt living tn says soon vaccine isfree vid vaccine behalf govt living tn says soon vaccine available ready human use thumbs up
17,1,just announced finalized panership deliver ronavirus vaccine whenjust announced finalized panership deliver ronavirus vaccine approved directly nursing st seniors
20,1,latest vaccine update 44 vaccines clinical trials 10 phase 3 studies repeating myselflatest vaccine update 44 vaccines clinical trials 10 phase 3 studies repeating truly extraordinary revolution outbreak vaccine design production
4,1,a virus run urse like viruses wonder shut everything mmon lda virus run urse like viruses wonder shut everything mmon ld got vaccine virus still going around get scared working find solutions safe vid practices help businesses run reopen
23,1,ronavirus likely beme endemic flu vaccine might able stop top uk scientist saysronavirus likely beme endemic flu vaccine might able stop top uk scientist says
0,1,2 mates sent vid tests back clean unused swabs came back positive stop2 mates sent vid tests back clean unused swabs came back positive stop talking rubbish change story 7 million people died 2020 hunger vaccine ready problem food
10,1,fewer 4 adults wuhan china tested positive antibodies vid 19 putting possibility offewer 4 adults wuhan china tested positive antibodies vid 19 putting possibility untries developing herd immunity virus without vaccine doubt worldnews
5,1,american seniors first line safe effective ronavirus vaccine approved american seniors first line safe effective ronavirus vaccine approved
14,1,has reserved manufacturing capacity 1 billion vaccine doses help vaxhas reserved manufacturing capacity 1 billion vaccine doses help vax panership produce equitably deliver 2b doses safe effective vaccines end 2021
,cluster,text
52,2,ronavirus vaccine developed uk works perfectly safely triggering immune response ronavirus vaccine developed uk works perfectly safely triggering immune response
63,2,vaccine canceled vid v answering everyone tonight thank much everyone yellow hea red hea
29,2,is growing hea ronavirus one pas life growing hea vaccine solved anything soon anyway
39,2,nation pride shri rahul gandhi ji ok hand thumbs flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps flexed biceps hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon hea ribbon
71,2,we think gov stimulus insurance policy would help millions people need bridge gapwe think gov stimulus insurance policy would help millions people need bridge gap vaccine help inoculate enomy die situation today risks beming via
44,2,oklah insist elections vaccine found oklah let gps rule state red hea red heaoklah insist elections vaccine found oklah let gps rule state red hea red hea red hea red hea red hea red hea sparkles sparkles sparkles mau
50,2,ronavirus likely beme flu vaccine might able stop top uk scientist saysronavirus likely beme flu vaccine might able stop top uk scientist says
23,2,highlight vid 19 vaccine expected secured first quaer next year bernama highlight vid 19 vaccine expected secured first quaer next year bernama
12,2,dark winter referenced last night debate looks like good time believed said idark winter referenced last night debate looks like good time believed said think going dark winter ntrary serious scientist world thinks soon
54,2,tamil nadu cm edappadi k palaniswami thursday said soon vaccine ready ittamil nadu cm edappadi k palaniswami thursday said soon vaccine ready given people state free st
,cluster,text
15,0,vid 19 vaccine expected secured first quaer next year vid 19 vaccine expected secured first quaer next year
4,0,free vid vaccine behalf govt living tn says soon vaccine isfree vid vaccine behalf govt living tn says soon vaccine available ready human use thumbs up
10,0,of change entirely likely china first safe effective vaccine bet us beentirely likely china first safe effective vaccine bet us piling pressure allies use better save thousands lives join project preserving us
11,0,ronavirus vaccine developed uk works perfectly safely triggering immune response ronavirus vaccine developed uk works perfectly safely triggering immune response
13,0,the south african military wasted r217 million 3 million buying cuban ronavirus drug nevehe south african military wasted r217 million 3 million buying cuban ronavirus drug never approved use south africa drug anc mayor falsely touted vaccine virus
3,0,first modi vacuous 6 pm address nation saying vid sitharaman promising free vid vaccine forfirst modi vacuous 6 pm address nation saying vid sitharaman promising free vid vaccine bihar raids ngress clearly bjp rattled crowds tejaswi drawing desperation shows losing game
6,0,hoping get safe effective vaccine soon hoping get safe effective vaccine soon
5,0,has reserved manufacturing capacity 1 billion vaccine doses help vaxhas reserved manufacturing capacity 1 billion vaccine doses help vax panership produce equitably deliver 2b doses safe effective vaccines end 2021
7,0,indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news
2,0,bjp within powers offer free vid vaccine bihar said willbjp within powers offer free vid vaccine bihar said offer free vaccine anywhere else vaccines generally given free
,cluster,text
9,1,first modi vacuous 6 pm address nation saying vid sitharaman promising free vid vaccine forfirst modi vacuous 6 pm address nation saying vid sitharaman promising free vid vaccine bihar raids ngress clearly bjp rattled crowds tejaswi drawing desperation shows losing game
16,1,just announced finalized panership deliver ronavirus vaccine whenjust announced finalized panership deliver ronavirus vaccine approved directly nursing st seniors
11,1,freehk fewer 4 adults wuhan china tested positive antibodies vid 19 putting thefewer 4 adults wuhan china tested positive antibodies vid 19 putting possibility untries developing herd immunity virus without vaccine doubt
29,1,vid 19 vaccine expected secured first quaer next year vid 19 vaccine expected secured first quaer next year
6,1,dark winter referenced last night debate looks like good time believed said idark winter referenced last night debate looks like good time believed said think going dark winter ntrary serious scientist world thinks soon
2,1,a healthcare facility cayman islands granted permission enter phase one clinical triala healthcare facility cayman islands granted permission enter phase one clinical trial vid 19 vaccine facility persues cayman islands limited looking 20 volunteers first phase human trials
22,1,of change entirely likely china first safe effective vaccine bet us beentirely likely china first safe effective vaccine bet us piling pressure allies use better save thousands lives join project preserving us
26,1,the south african military wasted r217 million 3 million buying cuban ronavirus drug nevehe south african military wasted r217 million 3 million buying cuban ronavirus drug never approved use south africa drug anc mayor falsely touted vaccine virus
15,1,joe biden one 8 democrats voted gop kill amendment prevent price gouging drugs developed withjoe biden one 8 democrats voted gop kill amendment prevent price gouging drugs developed public funding gilead vid drug remdesivir developed nih expected st 120 per dose
12,1,growing hea worry ronavirus new vaccine anymore growing hea science solve virus mpletely soon
,cluster,text
14,2,joe biden one 8 democrats voted gop kill amendment prevent price gouging drugs developed withjoe biden one 8 democrats voted gop kill amendment prevent price gouging drugs developed public funding gilead vid drug remdesivir developed nih expected st 120 per dose
3,2,american seniors first line safe effective ronavirus vaccine approved american seniors first line safe effective ronavirus vaccine approved
11,2,has reserved manufacturing capacity 1 billion vaccine doses help vaxhas reserved manufacturing capacity 1 billion vaccine doses help vax panership produce equitably deliver 2b doses safe effective vaccines end 2021
7,2,fewer 4 adults wuhan china tested positive antibodies vid 19 putting possibility offewer 4 adults wuhan china tested positive antibodies vid 19 putting possibility untries developing herd immunity virus without vaccine doubt
1,2,1 breast cancer vaccine 2 vid 19 vaccine 3 car vaccine target news ind soon buy cry
8,2,first modi vacuous 6 pm address nation saying vid sitharaman promising free vid vaccine forfirst modi vacuous 6 pm address nation saying vid sitharaman promising free vid vaccine bihar raids ngress clearly bjp rattled crowds tejaswi drawing desperation shows losing game
6,2,dark winter referenced last night debate looks like good time believed said idark winter referenced last night debate looks like good time believed said think going dark winter ntrary serious scientist world thinks soon
12,2,indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news
28,2,update ronavirus vaccine tracker india announces phase 3 trial theirupdate ronavirus vaccine tracker india announces phase 3 trial inactivated virus vaccine vaxin worldwide 11 vid specific vaccines phase 3 trials
17,2,latest madhya pradesh chief minister shivraj singh chouhan announces vid 19 vaccine ready itlatest madhya pradesh chief minister shivraj singh chouhan announces vid 19 vaccine ready made available people state free st
,cluster,text
27,3,kay growing hea worry ronavirus new vaccine anymore growing hea science solve virus mpletely soon growing hea
38,3,pos_txt
14,3,great news hope vaccine uld available soon great news hope vaccine uld available soon
0,3,3 indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expectsindian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news
10,3,en growing hea worry ronavirus new vaccine anymore growing hea science solve virus
8,3,challenge uk seeking regulator approval begin ntroversial vaccine trial healthy youngchallenge uk seeking regulator approval begin ntroversial vaccine trial healthy young volunteers intentionally exposed vid 19 test efficacy repos
5,3,another deaths election day point staggering historic failure ofanother deaths election day point staggering historic failure government bracing impetus hope new approach also need human challenge trials hasten vaccine
7,3,britain infect healthy volunteers ronavirus world first human challenge vaccine trialsbritain infect healthy volunteers ronavirus world first human challenge vaccine trials
46,3,tamil nadu cm edappadi k palaniswami thursday said soon vaccine ready ittamil nadu cm edappadi k palaniswami thursday said soon vaccine ready given people state free st
48,3,the south african military wasted r217 million 3 million buying cuban ronavirus drug nevehe south african military wasted r217 million 3 million buying cuban ronavirus drug never approved use south africa drug anc mayor falsely touted vaccine virus
,cluster,text
2,4,a darpa funded implantable bio chip detect 19 2021 experimental new vaccine usa darpa funded implantable bio chip detect 19 2021 experimental new vaccine us government claims able change human uld deployed early next year injectable bio chip
5,4,american seniors first line safe effective ronavirus vaccine approved american seniors first line safe effective ronavirus vaccine approved
21,4,update ronavirus vaccine tracker india announces phase 3 trial theirupdate ronavirus vaccine tracker india announces phase 3 trial inactivated virus vaccine vaxin worldwide 11 vid specific vaccines phase 3 trials
22,4,vaxin bharat biotech ronavirus vaccine cleared phase 3 trials ndtv vaxin bharat biotech ronavirus vaccine cleared phase 3 trials ndtv
3,4,a healthcare facility cayman islands granted permission enter phase one clinical triala healthcare facility cayman islands granted permission enter phase one clinical trial vid 19 vaccine facility persues cayman islands limited looking 20 volunteers first phase human trials
1,4,3 indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expectsindian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news
13,4,indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news indian bharat biotech vaxin ronavirus vaccine cleared phase 3 trials mpany expects good news
20,4,the south african military wasted r217 million 3 million buying cuban ronavirus drug nevehe south african military wasted r217 million 3 million buying cuban ronavirus drug never approved use south africa drug anc mayor falsely touted vaccine virus
17,4,of change entirely likely china first safe effective vaccine bet us beentirely likely china first safe effective vaccine bet us piling pressure allies use better save thousands lives join project preserving us
16,4,latest madhya pradesh chief minister shivraj singh chouhan announces vid 19 vaccine ready itlatest madhya pradesh chief minister shivraj singh chouhan announces vid 19 vaccine ready made available people state free st
